"0","ARENYS DE MAR                                                                                                                                                                                                                                                 ","0252D                                                                                                                                                                                                                                                         ","413515N                                                                                                                                                                                                                                                       ","023224E                                                                                                                                                                                                                                                       ","41.5875","2.54"
"1","BARCELONA AEROPUERTO                                                                                                                                                                                                                                          ","0076                                                                                                                                                                                                                                                          ","411734N                                                                                                                                                                                                                                                       ","020412E                                                                                                                                                                                                                                                       ","41.2927777778","2.07"
"2","BARCELONA, FABRA                                                                                                                                                                                                                                              ","0200E                                                                                                                                                                                                                                                         ","412506N                                                                                                                                                                                                                                                       ","020727E                                                                                                                                                                                                                                                       ","41.4183333333","2.12416666667"
"3","BARCELONA                                                                                                                                                                                                                                                     ","0201D                                                                                                                                                                                                                                                         ","412326N                                                                                                                                                                                                                                                       ","021200E                                                                                                                                                                                                                                                       ","41.3905555556","2.2"
"4","MANRESA                                                                                                                                                                                                                                                       ","0149X                                                                                                                                                                                                                                                         ","414312N                                                                                                                                                                                                                                                       ","015025E                                                                                                                                                                                                                                                       ","41.72","1.84027777778"
"5","SABADELL AEROPUERTO                                                                                                                                                                                                                                           ","0229I                                                                                                                                                                                                                                                         ","413125N                                                                                                                                                                                                                                                       ","020611E                                                                                                                                                                                                                                                       ","41.5236111111","2.10305555556"
"6","SANTA SUSANNA                                                                                                                                                                                                                                                 ","0255B                                                                                                                                                                                                                                                         ","413903N                                                                                                                                                                                                                                                       ","024149E                                                                                                                                                                                                                                                       ","41.6508333333","2.69694444444"
"7","GIRONA AEROPUERTO                                                                                                                                                                                                                                             ","0367                                                                                                                                                                                                                                                          ","415442N                                                                                                                                                                                                                                                       ","024548E                                                                                                                                                                                                                                                       ","41.9116666667","2.76333333333"
"8","GIRONA, ANTIC INSTITUT                                                                                                                                                                                                                                        ","0370B                                                                                                                                                                                                                                                         ","415848N                                                                                                                                                                                                                                                       ","024931E                                                                                                                                                                                                                                                       ","41.98","2.82527777778"
"9","PORQUERES                                                                                                                                                                                                                                                     ","0372C                                                                                                                                                                                                                                                         ","420616N                                                                                                                                                                                                                                                       ","024549E                                                                                                                                                                                                                                                       ","42.1044444444","2.76361111111"
"10","RIPOLL                                                                                                                                                                                                                                                        ","0324A                                                                                                                                                                                                                                                         ","421129N                                                                                                                                                                                                                                                       ","021146E                                                                                                                                                                                                                                                       ","42.1913888889","2.19611111111"
"11","REUS AEROPUERTO                                                                                                                                                                                                                                               ","0016A                                                                                                                                                                                                                                                         ","410842N                                                                                                                                                                                                                                                       ","010949E                                                                                                                                                                                                                                                       ","41.145","1.16361111111"
"12","VANDELLOS                                                                                                                                                                                                                                                     ","0002I                                                                                                                                                                                                                                                         ","405729N                                                                                                                                                                                                                                                       ","005217E                                                                                                                                                                                                                                                       ","40.9580555556","0.871388888889"
